customer_id,segment,contract_type,sales_channel,region,product_tier,tenure_months,monthly_revenue_gbp,support_tickets_90d,usage_index,nps_score,payment_failures_90d,discount_pct,days_since_last_login,churned,annual_revenue_gbp,risk_score,risk_band,revenue_at_risk_gbp,retention_priority
CUST-00001,SMB,24 Month,Direct Sales,UK,Premium,20,24.67,4,0.397,71,0,1.8,30,0,296.04,1,Low,32.89,P4
CUST-00002,SMB,12 Month,Direct Sales,UAE,Basic,27,72.73,3,0.776,-1,1,10.5,45,0,872.76,6,High,581.84,P3
CUST-00003,SMB,24 Month,Online,UK,Premium,22,166.25,0,0.344,88,0,3.7,44,0,1995.0,4,Medium,886.67,P2
CUST-00004,Enterprise,Month-to-Month,Online,India,Standard,37,49.93,1,0.265,-60,0,18.5,32,0,599.16,6,High,399.44,P3
CUST-00005,Mid-Market,Month-to-Month,Online,UAE,Standard,45,37.79,1,0.599,-83,0,11.3,59,0,453.48,4,Medium,201.55,P3
CUST-00006,Mid-Market,24 Month,Online,India,Standard,35,60.4,2,0.606,96,0,2.3,28,0,724.8,0,Low,0.0,P4
CUST-00007,Mid-Market,Month-to-Month,Retail,India,Standard,37,57.69,2,0.251,44,0,1.4,34,0,692.28,5,High,384.6,P3
CUST-00008,Consumer,Month-to-Month,Partner,UAE,Standard,43,26.78,2,0.712,-58,1,4.6,9,1,321.36,4,Medium,0.0,P3
CUST-00009,Consumer,Month-to-Month,Partner,UK,Standard,11,60.74,2,0.702,91,0,4.0,24,0,728.88,1,Low,80.99,P4
CUST-00010,SMB,12 Month,Partner,UK,Enterprise,28,59.16,2,0.774,98,0,11.3,46,0,709.92,2,Low,157.76,P4
CUST-00011,Enterprise,24 Month,Direct Sales,UK,Basic,41,73.75,4,0.591,88,0,6.7,0,0,885.0,1,Low,98.33,P4
CUST-00012,Consumer,12 Month,Retail,UK,Premium,5,28.97,4,0.523,-1,0,8.9,55,0,347.64,4,Medium,154.51,P3
CUST-00013,Consumer,Month-to-Month,Partner,UAE,Standard,28,177.92,3,0.49,29,0,11.1,9,0,2135.04,2,Low,474.45,P4
CUST-00014,Enterprise,Month-to-Month,Retail,UK,Premium,40,24.24,2,0.501,79,0,12.0,28,1,290.88,1,Low,0.0,P4
CUST-00015,SMB,24 Month,Partner,Germany,Enterprise,61,156.14,0,0.592,-38,0,9.0,15,0,1873.68,1,Low,208.19,P4
CUST-00016,Enterprise,Month-to-Month,Direct Sales,India,Enterprise,36,32.85,1,0.492,-84,1,8.0,20,0,394.2,4,Medium,175.2,P3
CUST-00017,Consumer,Month-to-Month,Retail,UAE,Standard,31,103.21,1,0.537,48,1,2.4,15,0,1238.52,3,Medium,412.84,P3
CUST-00018,SMB,Month-to-Month,Online,US,Enterprise,53,187.89,1,0.411,-51,1,7.0,51,0,2254.68,6,High,1503.12,P1
CUST-00019,SMB,Month-to-Month,Online,US,Enterprise,61,39.37,4,0.72,-2,0,10.5,44,0,472.44,5,High,262.47,P3
CUST-00020,Consumer,Month-to-Month,Online,India,Premium,67,48.65,2,0.643,-44,0,10.9,6,0,583.8,2,Low,129.73,P4
CUST-00021,Mid-Market,Month-to-Month,Online,UAE,Premium,51,72.34,1,0.676,24,1,11.3,55,0,868.08,5,High,482.27,P3
CUST-00022,Consumer,12 Month,Direct Sales,UK,Standard,42,43.49,0,0.951,29,0,1.9,30,0,521.88,0,Low,0.0,P4
CUST-00023,SMB,Month-to-Month,Direct Sales,UK,Basic,43,39.28,2,0.703,-30,0,18.7,43,0,471.36,4,Medium,209.49,P3
CUST-00024,Consumer,Month-to-Month,Direct Sales,India,Standard,41,72.66,4,0.298,-44,0,9.3,19,0,871.92,5,High,484.4,P3
CUST-00025,Consumer,Month-to-Month,Direct Sales,UAE,Premium,32,147.9,2,0.318,-15,1,11.9,18,0,1774.8,6,High,1183.2,P1
CUST-00026,SMB,Month-to-Month,Direct Sales,UK,Premium,65,28.8,2,0.524,-72,1,6.3,26,1,345.6,4,Medium,0.0,P3
CUST-00027,Consumer,Month-to-Month,Partner,UAE,Standard,64,33.71,2,0.39,63,0,1.2,40,0,404.52,3,Medium,134.84,P3
CUST-00028,Enterprise,Month-to-Month,Direct Sales,India,Standard,28,58.55,2,0.647,-12,0,7.1,59,0,702.6,4,Medium,312.27,P3
CUST-00029,Enterprise,Month-to-Month,Direct Sales,US,Standard,29,15.39,4,0.382,-31,0,6.5,59,0,184.68,5,High,102.6,P3
CUST-00030,Enterprise,Month-to-Month,Partner,Germany,Basic,70,59.94,4,0.904,63,1,2.8,4,0,719.28,4,Medium,319.68,P3
CUST-00031,Consumer,24 Month,Partner,UK,Premium,39,53.38,2,0.804,77,0,5.0,44,0,640.56,2,Low,142.35,P4
CUST-00032,Mid-Market,Month-to-Month,Online,UK,Standard,63,84.44,3,0.705,-41,0,4.2,31,0,1013.28,5,High,562.93,P2
CUST-00033,Enterprise,24 Month,Online,US,Basic,24,54.28,4,0.692,86,0,21.3,10,0,651.36,1,Low,72.37,P4
CUST-00034,Mid-Market,12 Month,Online,UAE,Premium,34,14.06,3,0.309,32,0,12.8,48,0,168.72,5,High,93.73,P3
CUST-00035,Consumer,Month-to-Month,Direct Sales,UK,Basic,30,77.73,1,0.326,81,1,23.1,22,0,932.76,5,High,518.2,P2
CUST-00036,SMB,24 Month,Retail,Germany,Standard,47,60.19,3,0.28,39,0,7.6,7,0,722.28,3,Medium,240.76,P3
CUST-00037,Enterprise,12 Month,Direct Sales,UAE,Basic,46,67.22,0,0.469,42,0,16.3,44,1,806.64,2,Low,0.0,P4
CUST-00038,Consumer,Month-to-Month,Retail,UK,Basic,54,29.34,0,0.488,-36,1,10.2,35,0,352.08,6,High,234.72,P3
CUST-00039,SMB,Month-to-Month,Partner,UK,Enterprise,46,85.63,1,0.337,-10,0,11.7,30,0,1027.56,4,Medium,456.69,P2
CUST-00040,SMB,12 Month,Online,UK,Basic,45,20.62,2,0.326,61,0,7.6,10,0,247.44,2,Low,54.99,P4
CUST-00041,SMB,Month-to-Month,Direct Sales,UK,Premium,37,53.25,1,0.724,9,0,14.9,38,1,639.0,3,Medium,0.0,P3
CUST-00042,Consumer,24 Month,Direct Sales,India,Standard,28,52.9,0,0.775,80,0,3.9,19,0,634.8,0,Low,0.0,P4
CUST-00043,Enterprise,Month-to-Month,Retail,UK,Standard,70,47.77,0,0.683,98,0,5.0,22,0,573.24,1,Low,63.69,P4
CUST-00044,SMB,24 Month,Online,UK,Standard,53,68.46,0,0.961,-50,0,6.5,25,0,821.52,1,Low,91.28,P4
CUST-00045,Consumer,12 Month,Direct Sales,UK,Basic,14,73.09,1,0.484,-10,0,7.3,4,0,877.08,1,Low,97.45,P4
CUST-00046,Consumer,Month-to-Month,Direct Sales,Germany,Premium,45,67.59,3,0.345,-85,0,8.1,39,0,811.08,7,Critical,630.84,P3
CUST-00047,SMB,Month-to-Month,Direct Sales,US,Premium,3,79.01,2,0.12,-91,0,7.0,35,1,948.12,6,High,0.0,P2
CUST-00048,Consumer,24 Month,Direct Sales,UK,Standard,46,43.19,2,0.358,-58,0,2.3,11,0,518.28,1,Low,57.59,P4
CUST-00049,Mid-Market,Month-to-Month,Retail,UAE,Standard,20,24.18,2,0.388,-34,0,9.9,36,0,290.16,4,Medium,128.96,P3
CUST-00050,Mid-Market,Month-to-Month,Online,US,Standard,65,40.84,2,0.529,-2,1,4.4,14,0,490.08,4,Medium,217.81,P3
CUST-00051,Enterprise,12 Month,Partner,India,Standard,40,155.56,2,0.461,-34,0,13.3,50,0,1866.72,3,Medium,622.24,P3
CUST-00052,Consumer,12 Month,Retail,UK,Standard,21,33.01,0,0.46,-96,1,8.9,9,0,396.12,3,Medium,132.04,P3
CUST-00053,Consumer,Month-to-Month,Online,UAE,Basic,35,112.27,1,0.328,25,0,7.7,32,0,1347.24,5,High,748.47,P2
CUST-00054,Consumer,12 Month,Online,US,Standard,57,57.76,3,0.674,-41,0,3.0,47,0,693.12,4,Medium,308.05,P3
CUST-00055,SMB,12 Month,Direct Sales,US,Enterprise,22,77.53,0,0.336,-79,1,2.2,7,0,930.36,5,High,516.87,P2
CUST-00056,Mid-Market,Month-to-Month,Retail,UK,Basic,36,63.35,1,0.245,15,2,5.5,5,0,760.2,5,High,422.33,P3
CUST-00057,Consumer,12 Month,Direct Sales,UK,Premium,25,53.06,1,0.206,-39,0,0.3,14,0,636.72,3,Medium,212.24,P3
CUST-00058,Consumer,12 Month,Partner,US,Basic,51,22.76,4,0.349,-72,0,10.3,11,0,273.12,4,Medium,121.39,P3
CUST-00059,Consumer,Month-to-Month,Retail,India,Enterprise,5,19.24,1,0.46,-31,0,18.6,37,1,230.88,4,Medium,0.0,P3
CUST-00060,Consumer,12 Month,Retail,Germany,Premium,49,29.45,3,0.852,-23,1,10.8,27,0,353.4,4,Medium,157.07,P3
CUST-00061,Consumer,24 Month,Partner,UK,Premium,58,83.99,1,0.452,-54,0,3.4,12,0,1007.88,1,Low,111.99,P4
CUST-00062,Enterprise,Month-to-Month,Direct Sales,US,Basic,51,39.5,0,0.509,73,0,6.8,60,0,474.0,3,Medium,158.0,P3
CUST-00063,Consumer,Month-to-Month,Partner,UK,Basic,65,76.21,3,0.682,80,1,11.9,45,1,914.52,6,High,0.0,P2
CUST-00064,Consumer,Month-to-Month,Direct Sales,Germany,Premium,42,121.75,1,0.809,-10,1,3.3,53,0,1461.0,6,High,974.0,P2
CUST-00065,Consumer,12 Month,Online,UAE,Enterprise,4,51.18,4,0.54,-14,2,6.2,17,0,614.16,4,Medium,272.96,P3
CUST-00066,Mid-Market,24 Month,Online,UK,Enterprise,8,70.63,1,0.33,3,0,9.8,30,0,847.56,2,Low,188.35,P4
CUST-00067,Enterprise,24 Month,Online,US,Enterprise,36,47.77,5,0.889,-49,1,0.2,11,0,573.24,4,Medium,254.77,P3
CUST-00068,Consumer,Month-to-Month,Online,Germany,Standard,32,51.11,4,0.651,-52,0,11.2,58,1,613.32,5,High,0.0,P3
CUST-00069,Mid-Market,Month-to-Month,Direct Sales,UK,Basic,21,24.23,2,0.929,44,0,4.9,11,1,290.76,1,Low,0.0,P4
CUST-00070,Consumer,24 Month,Direct Sales,US,Premium,45,38.76,0,0.665,48,0,3.6,20,0,465.12,0,Low,0.0,P4
CUST-00071,Consumer,Month-to-Month,Retail,India,Basic,18,83.69,4,0.74,4,0,15.9,46,0,1004.28,4,Medium,446.35,P2
CUST-00072,Enterprise,Month-to-Month,Retail,UK,Enterprise,58,56.35,0,0.201,-11,2,4.0,21,0,676.2,6,High,450.8,P3
CUST-00073,Enterprise,12 Month,Direct Sales,India,Standard,14,62.55,2,0.715,-26,0,2.8,41,1,750.6,3,Medium,0.0,P3
CUST-00074,Mid-Market,Month-to-Month,Partner,UK,Premium,28,32.33,0,0.572,-30,0,3.5,0,0,387.96,2,Low,86.21,P4
CUST-00075,SMB,24 Month,Direct Sales,US,Standard,1,62.54,0,0.386,-21,0,7.2,2,0,750.48,1,Low,83.39,P4
CUST-00076,SMB,24 Month,Direct Sales,UAE,Enterprise,50,50.15,0,0.764,-20,1,10.4,17,0,601.8,3,Medium,200.6,P3
CUST-00077,SMB,Month-to-Month,Direct Sales,Germany,Standard,22,84.5,1,0.846,-28,0,0.7,13,0,1014.0,2,Low,225.33,P4
CUST-00078,Consumer,Month-to-Month,Direct Sales,India,Basic,55,84.77,2,0.454,-57,0,2.8,32,1,1017.24,4,Medium,0.0,P2
CUST-00079,Consumer,Month-to-Month,Direct Sales,US,Standard,69,45.47,3,0.421,-18,0,2.6,14,0,545.64,3,Medium,181.88,P3
CUST-00080,SMB,Month-to-Month,Direct Sales,US,Standard,72,72.78,0,0.819,-38,0,17.2,21,0,873.36,2,Low,194.08,P4
CUST-00081,Enterprise,24 Month,Online,India,Basic,30,158.51,3,0.7,-80,1,5.5,29,1,1902.12,4,Medium,0.0,P2
